experiment;asymptotic;native real time;native user time;native sys time;native trigger time;native meval time
trigger-0-bounded-lhs-1-historically;2n;0.441;0.417;0.016;0.078635;0.259879
trigger-0-bounded-lhs-1-historically;2l;0.395;0.373;0.015;0.088236;0.248866
trigger-0-bounded-lhs-1-historically;2c;0.912;0.884;0.017;0.167669;0.565931
trigger-0-bounded-lhs-1-historically;4n;1.009;0.982;0.018;0.185927;0.50014
trigger-0-bounded-lhs-1-historically;4l;0.795;0.768;0.021;0.190026;0.522947
trigger-0-bounded-lhs-1-historically;4c;4.146;4.089;0.046;0.775727;2.07512
trigger-0-bounded-lhs-1-historically;8n;2.277;2.236;0.029;0.454334;1.09027
trigger-0-bounded-lhs-1-historically;8l;1.616;1.579;0.027;0.390003;1.08296
trigger-0-bounded-lhs-1-historically;8c;18.953;18.774;0.158;3.63579;8.85961
trigger-0-bounded-lhs-1-neg-historically;baseline;0.211;0.187;0.019;0.045334;0.122317
trigger-0-bounded-lhs-1-neg-historically;2n;0.464;0.440;0.013;0.088428;0.277517
trigger-0-bounded-lhs-1-neg-historically;2l;0.412;0.386;0.014;0.096296;0.261773
trigger-0-bounded-lhs-1-neg-historically;2c;0.947;0.916;0.019;0.180498;0.578335
trigger-0-bounded-lhs-1-neg-historically;4n;1.041;1.012;0.021;0.200219;0.522039
trigger-0-bounded-lhs-1-neg-historically;4l;0.813;0.782;0.022;0.1973;0.533174
trigger-0-bounded-lhs-1-neg-historically;4c;4.290;4.225;0.053;0.837596;2.1308
trigger-0-bounded-lhs-1-neg-historically;8n;2.314;2.272;0.032;0.470557;1.10787
trigger-0-bounded-lhs-1-neg-historically;8l;1.639;1.602;0.024;0.414602;1.11171
trigger-0-bounded-lhs-1-neg-historically;8c;19.180;19.000;0.163;3.87741;9.07768
trigger-0-bounded-lhs-1-neg-historically;baseline;0.202;0.183;0.010;0.042934;0.118929
trigger-0-bounded-lhs-1-neg-historically;2n;0.446;0.422;0.015;0.08477;0.266184
trigger-0-bounded-lhs-1-neg-historically;2l;0.408;0.383;0.022;0.094178;0.258776
trigger-0-bounded-lhs-1-neg-historically;2c;0.895;0.869;0.018;0.172415;0.542448
